row_id,order_id,created_at,item_id,quantity,cust_id,delivery,add_id
1,109,10/08/2022 13:22,it_001,2,1,1,1
2,110,10/08/2022 13:53,it_003,1,2,1,2
3,111,10/08/2022 13:32,it_001,1,3,1,3
4,111,10/08/2022 13:32,it_003,1,3,1,3
5,112,10/08/2022 19:19,it_008,3,4,0,4
6,112,10/08/2022 19:19,it_019,5,4,0,4
7,112,10/08/2022 19:19,it_020,5,4,0,4
8,112,10/08/2022 19:19,it_023,1,4,0,4
9,112,10/08/2022 19:19,it_040,1,4,0,4
10,113,10/08/2022 19:19,it_008,1,5,1,5
11,113,10/08/2022 20:45,it_009,1,5,1,5
12,113,10/08/2022 20:45,it_024,2,5,1,5
13,113,10/08/2022 20:45,it_022,1,5,1,5
14,113,10/08/2022 20:45,it_025,3,5,1,5
15,114,10/08/2022 12:05,it_003,1,6,1,6
16,114,10/08/2022 12:05,it_002,1,6,1,6
17,114,10/08/2022 12:05,it_010,1,6,1,6
18,114,10/08/2022 12:05,it_018,1,6,1,6
19,114,10/08/2022 12:05,it_020,1,6,1,6
20,114,10/08/2022 12:05,it_025,1,6,1,6
21,114,10/08/2022 12:05,it_026,1,6,1,6
22,114,10/08/2022 12:05,it_021,1,6,1,6
23,114,10/08/2022 12:05,it_029,1,6,1,6
24,115,10/08/2022 12:19,it_001,2,7,1,7
25,115,10/08/2022 12:19,it_003,4,7,1,7
26,115,10/08/2022 12:19,it_005,2,7,1,7
27,115,10/08/2022 12:19,it_026,3,7,1,7
28,115,10/08/2022 12:19,it_030,5,7,1,7
29,116,10/08/2022 13:08,it_004,3,8,1,8
30,116,10/08/2022 13:08,it_012,3,8,1,8
31,116,10/08/2022 13:08,it_010,1,8,1,8
32,116,10/08/2022 13:08,it_020,1,8,1,8
33,116,10/08/2022 13:08,it_028,5,8,1,8
34,117,10/08/2022 20:24,it_003,1,9,0,9
35,117,10/08/2022 20:24,it_008,2,9,0,9
36,117,10/08/2022 20:24,it_018,2,9,0,9
37,117,10/08/2022 20:24,it_023,1,9,0,9
38,118,10/08/2022 19:48,it_001,3,10,1,10
39,118,10/08/2022 19:48,it_003,2,10,1,10
40,118,10/08/2022 19:48,it_008,4,10,1,10
41,118,10/08/2022 19:48,it_012,2,10,1,10
42,118,10/08/2022 19:48,it_013,1,10,1,10
43,118,10/08/2022 19:48,it_010,1,10,1,10
44,118,10/08/2022 19:48,it_005,5,10,1,10
45,118,10/08/2022 19:48,it_017,4,10,1,10
46,118,10/08/2022 19:48,it_020,4,10,1,10
47,118,10/08/2022 19:48,it_027,10,10,1,10
48,118,10/08/2022 19:48,it_026,5,10,1,10
49,118,10/08/2022 19:48,it_043,10,10,1,10
50,119,10/08/2022 22:05,it_013,1,11,1,11
51,119,10/08/2022 22:05,it_004,1,11,1,11
52,119,10/08/2022 22:05,it_010,1,11,1,11
53,119,10/08/2022 22:05,it_024,2,11,1,11
54,119,10/08/2022 22:05,it_028,3,11,1,11
55,120,10/08/2022 14:20,it_033,1,12,0,12
56,120,10/08/2022 14:20,it_036,1,12,0,12
57,120,10/08/2022 14:20,it_026,1,12,0,12
58,120,10/08/2022 14:20,it_022,2,12,0,12
59,120,10/08/2022 14:20,it_019,1,12,0,12
60,120,10/08/2022 14:20,it_018,1,12,0,12
61,120,10/08/2022 14:20,it_004,1,12,0,12
62,121,10/08/2022 12:05,it_004,2,13,1,13
63,121,10/08/2022 12:05,it_009,4,13,1,13
64,121,10/08/2022 12:05,it_019,1,13,1,13
65,121,10/08/2022 12:05,it_033,1,13,1,13
66,122,10/08/2022 18:34,it_012,1,14,1,14
67,122,10/08/2022 18:34,it_020,2,14,1,14
68,122,10/08/2022 18:34,it_025,1,14,1,14
69,122,10/08/2022 18:34,it_037,2,14,1,14
70,123,10/08/2022 18:43,it_007,1,15,1,15
71,123,10/08/2022 18:43,it_012,5,15,1,15
72,123,10/08/2022 18:43,it_009,2,15,1,15
73,123,10/08/2022 18:43,it_019,2,15,1,15
74,123,10/08/2022 18:43,it_022,12,15,1,15
75,123,10/08/2022 18:43,it_041,2,15,1,15
76,123,10/08/2022 18:43,it_036,22,15,1,15
77,123,10/08/2022 18:43,it_033,2,15,1,15
78,124,10/08/2022 20:01,it_014,1,16,1,16
79,124,10/08/2022 20:01,it_019,2,16,1,16
80,124,10/08/2022 20:01,it_020,2,16,1,16
81,125,10/08/2022 13:08,it_041,1,17,1,17
82,125,10/08/2022 13:08,it_008,1,17,1,17
83,125,10/08/2022 13:08,it_009,2,17,1,17
84,125,10/08/2022 13:08,it_019,2,17,1,17
85,125,10/08/2022 13:08,it_018,2,17,1,17
86,125,10/08/2022 13:08,it_020,3,17,1,17
87,125,10/08/2022 13:08,it_026,4,17,1,17
88,125,10/08/2022 13:08,it_030,1,17,1,17
89,125,10/08/2022 13:08,it_028,2,17,1,17
90,126,10/08/2022 12:46,it_004,1,18,0,18
91,126,10/08/2022 12:46,it_018,1,18,0,18
92,126,10/08/2022 12:46,it_019,1,18,0,18
93,126,10/08/2022 12:46,it_025,1,18,0,18
94,126,10/08/2022 12:46,it_029,1,18,0,18
95,127,10/08/2022 13:35,it_008,1,19,1,19
96,127,10/08/2022 13:35,it_019,1,19,1,19
97,127,10/08/2022 13:35,it_026,1,19,1,19
98,127,10/08/2022 13:35,it_040,1,19,1,19
99,127,10/08/2022 13:35,it_042,1,19,1,19
100,128,10/08/2022 21:28,it_003,1,20,1,20
101,128,10/08/2022 21:28,it_018,1,20,1,20
102,128,10/08/2022 21:28,it_036,1,20,1,20
103,128,10/08/2022 21:28,it_012,1,20,1,20
104,129,10/08/2022 19:42,it_008,1,21,1,21
105,129,10/08/2022 19:42,it_015,1,21,1,21
106,129,10/08/2022 19:42,it_026,1,21,1,21
107,129,10/08/2022 19:42,it_036,2,21,1,21
108,130,10/08/2022 19:51,it_001,1,22,1,22
109,130,10/08/2022 19:51,it_003,1,22,1,22
110,130,10/08/2022 19:51,it_006,1,22,1,22
111,130,10/08/2022 19:51,it_020,1,22,1,22
112,130,10/08/2022 19:51,it_021,1,22,1,22
113,130,10/08/2022 19:51,it_023,1,22,1,22
114,130,10/08/2022 19:51,it_040,2,22,1,22
115,130,10/08/2022 19:51,it_030,1,22,1,22
116,130,10/08/2022 19:51,it_032,1,22,1,22
117,131,10/08/2022 13:51,it_004,1,23,1,23
118,131,10/08/2022 13:51,it_016,1,23,1,23
119,131,10/08/2022 13:51,it_018,1,23,1,23
120,131,10/08/2022 13:51,it_025,1,23,1,23
121,131,10/08/2022 13:51,it_026,1,23,1,23
122,131,10/08/2022 13:51,it_037,1,23,1,23
123,132,10/08/2022 13:31,it_001,1,24,1,24
124,132,10/08/2022 13:31,it_008,1,24,1,24
125,132,10/08/2022 13:31,it_012,1,24,1,24
126,132,10/08/2022 13:31,it_025,1,24,1,24
127,132,10/08/2022 13:31,it_042,2,24,1,24
128,133,10/08/2022 20:36,it_003,1,25,1,25
129,134,10/08/2022 19:11,it_004,2,26,1,26
130,134,10/08/2022 19:11,it_007,1,26,0,26
131,134,10/08/2022 19:11,it_011,5,26,0,26
132,134,10/08/2022 19:11,it_019,5,26,0,26
133,134,10/08/2022 19:11,it_025,10,26,0,26
134,134,10/08/2022 19:11,it_026,5,26,0,26
135,134,10/08/2022 19:11,it_027,5,26,0,26
136,134,10/08/2022 19:11,it_022,20,26,0,26
137,134,10/08/2022 19:11,it_041,1,26,0,26
138,135,10/08/2022 13:29,it_004,3,27,1,27
139,135,10/08/2022 13:29,it_019,2,27,1,27
140,135,10/08/2022 13:29,it_018,3,27,1,27
141,135,10/08/2022 13:29,it_020,2,27,1,27
142,136,10/08/2022 18:58,it_029,2,28,1,28
143,136,10/08/2022 18:58,it_004,2,28,1,28
144,136,10/08/2022 18:58,it_025,4,28,1,28
145,137,10/08/2022 13:14,it_003,1,29,0,29
146,137,10/08/2022 13:14,it_011,1,29,0,29
147,137,10/08/2022 13:14,it_017,1,29,0,29
148,137,10/08/2022 13:14,it_036,2,29,0,29
149,138,10/08/2022 13:12,it_019,1,30,1,30
150,138,10/08/2022 13:12,it_018,2,30,1,30
151,138,10/08/2022 13:12,it_025,1,30,1,30
152,138,10/08/2022 13:12,it_017,1,30,1,30
153,139,10/08/2022 19:19,it_001,1,31,1,31
154,139,10/08/2022 19:19,it_003,1,31,1,31
155,139,10/08/2022 19:19,it_008,1,31,1,31
156,139,10/08/2022 19:19,it_010,1,31,1,31
157,139,10/08/2022 19:19,it_014,1,31,1,31
158,139,10/08/2022 19:19,it_017,1,31,1,31
159,139,10/08/2022 19:19,it_018,6,31,1,31
160,139,10/08/2022 19:19,it_019,9,31,1,31
161,139,10/08/2022 19:19,it_020,1,31,1,31
162,140,10/08/2022 13:32,it_018,2,32,1,32
163,140,10/08/2022 13:32,it_016,1,32,1,32
164,140,10/08/2022 13:32,it_025,1,32,1,32
165,140,10/08/2022 13:32,it_029,1,32,1,32
166,141,10/08/2022 21:20,it_026,1,33,0,33
167,141,10/08/2022 21:20,it_025,1,33,0,33
168,141,10/08/2022 21:20,it_006,1,33,0,33
169,141,10/08/2022 21:20,it_009,1,33,0,33
170,141,10/08/2022 21:20,it_008,1,33,0,33
171,142,10/08/2022 22:02,it_001,3,34,1,34
172,142,10/08/2022 22:02,it_019,3,34,1,34
173,142,10/08/2022 22:02,it_023,3,34,1,34
174,142,10/08/2022 22:02,it_033,3,34,1,34
175,143,10/08/2022 19:02,it_001,1,35,0,35
176,143,10/08/2022 19:02,it_003,1,35,0,35
177,143,10/08/2022 19:02,it_019,1,35,0,35
178,143,10/08/2022 19:02,it_026,1,35,0,35
179,144,10/08/2022 19:44,it_004,1,36,1,36
180,144,10/08/2022 19:44,it_007,1,36,1,36
181,144,10/08/2022 19:44,it_027,1,36,1,36
182,144,10/08/2022 19:44,it_021,1,36,1,36
183,144,10/08/2022 19:44,it_032,1,36,1,36
184,144,10/08/2022 19:44,it_028,1,36,1,36
185,145,10/08/2022 20:04,it_004,1,37,1,37
186,145,10/08/2022 20:04,it_013,2,37,1,37
187,145,10/08/2022 20:04,it_006,1,37,1,37
188,145,10/08/2022 20:04,it_018,3,37,1,37
189,145,10/08/2022 20:04,it_020,2,37,1,37
190,145,10/08/2022 20:04,it_027,2,37,1,37
191,145,10/08/2022 20:04,it_041,1,37,1,37
192,146,10/08/2022 20:34,it_005,1,38,1,38
193,146,10/08/2022 20:34,it_007,1,38,1,38
194,146,10/08/2022 20:34,it_004,1,38,1,38
195,146,10/08/2022 20:34,it_026,2,38,1,38
196,146,10/08/2022 20:34,it_034,1,38,1,38
197,146,10/08/2022 20:34,it_030,1,38,1,38
198,147,10/08/2022 13:24,it_039,1,39,1,39
199,147,10/08/2022 13:24,it_025,2,39,1,39
200,147,10/08/2022 13:24,it_009,2,39,1,39
201,148,10/08/2022 19:44,it_004,2,40,1,40
202,148,10/08/2022 19:44,it_001,1,40,1,40
203,148,10/08/2022 19:44,it_003,3,40,1,40
204,149,10/08/2022 21:02,it_012,1,41,0,41
205,149,10/08/2022 21:02,it_004,1,41,0,41
206,149,10/08/2022 21:02,it_020,1,41,0,41
207,149,10/08/2022 21:02,it_017,1,41,0,41
208,149,10/08/2022 21:02,it_026,1,41,0,41
209,149,10/08/2022 21:02,it_025,1,41,0,41
210,149,10/08/2022 21:02,it_039,1,41,0,41
211,150,10/08/2022 22:29,it_003,2,42,1,42
212,150,10/08/2022 22:29,it_005,1,42,1,42
213,150,10/08/2022 22:29,it_017,2,42,1,42
214,150,10/08/2022 22:29,it_020,1,42,1,42
215,150,10/08/2022 22:29,it_025,1,42,1,42
216,150,10/08/2022 22:29,it_022,1,42,1,42
217,150,10/08/2022 22:29,it_041,1,42,1,42
218,151,10/08/2022 13:38,it_025,4,43,0,43
219,151,10/08/2022 13:38,it_018,2,43,0,43
220,151,10/08/2022 13:38,it_004,1,43,0,43
221,151,10/08/2022 13:38,it_001,1,43,0,43
222,151,10/08/2022 13:38,it_007,1,43,0,43
223,151,10/08/2022 13:38,it_011,2,43,0,43
224,151,10/08/2022 13:38,it_010,3,43,0,43
225,151,10/08/2022 13:38,it_013,1,43,0,43
226,151,10/08/2022 13:38,it_019,2,43,0,43
227,151,10/08/2022 13:38,it_028,3,43,0,43
228,151,10/08/2022 13:38,it_033,3,43,1,43
229,152,10/08/2022 13:04,it_003,1,44,1,44
230,152,10/08/2022 13:04,it_007,1,44,1,44
231,152,10/08/2022 13:04,it_019,1,44,1,44
232,152,10/08/2022 13:04,it_025,1,44,1,44
233,152,10/08/2022 13:04,it_032,1,44,1,44
234,152,10/08/2022 13:04,it_029,1,44,1,44
235,153,10/08/2022 13:43,it_002,1,45,1,45
236,153,10/08/2022 13:43,it_016,1,45,1,45
237,153,10/08/2022 13:43,it_020,1,45,1,45
238,153,10/08/2022 13:43,it_021,1,45,1,45
239,153,10/08/2022 13:43,it_029,1,45,1,45
240,153,10/08/2022 13:43,it_037,1,45,1,45
241,154,10/08/2022 22:13,it_001,1,46,1,46
242,154,10/08/2022 22:13,it_009,1,46,1,46
243,155,10/08/2022 21:43,it_012,1,47,1,47
244,155,10/08/2022 21:43,it_019,1,47,1,47
245,155,10/08/2022 21:43,it_020,2,47,1,47
246,155,10/08/2022 21:43,it_037,1,47,1,47
247,156,10/08/2022 22:29,it_008,20,48,1,48
248,156,10/08/2022 22:29,it_002,1,48,1,48
249,156,10/08/2022 22:29,it_003,8,48,1,48
250,156,10/08/2022 22:29,it_007,5,48,1,48
251,156,10/08/2022 22:29,it_010,1,48,1,48
252,156,10/08/2022 22:29,it_013,1,48,1,48
253,157,10/08/2022 22:47,it_008,1,49,1,49
254,157,10/08/2022 22:47,it_009,1,49,1,49
255,157,10/08/2022 22:47,it_020,2,49,1,49
256,157,10/08/2022 22:47,it_026,1,49,1,49
257,157,10/08/2022 22:47,it_024,1,49,1,49
258,157,10/08/2022 22:47,it_023,2,49,1,49
259,158,10/08/2022 12:06,it_011,1,50,1,50
260,158,10/08/2022 12:06,it_016,1,50,1,50
261,158,10/08/2022 12:06,it_020,1,50,1,50
262,158,10/08/2022 12:06,it_025,2,50,1,50
263,159,10/08/2022 13:40,it_002,1,51,1,51
264,159,10/08/2022 13:40,it_008,1,51,1,51
265,159,10/08/2022 13:40,it_012,2,51,1,51
266,159,10/08/2022 13:40,it_016,2,51,0,51
267,159,10/08/2022 13:40,it_006,1,51,0,51
268,159,10/08/2022 13:40,it_017,2,51,0,51
269,159,10/08/2022 13:40,it_018,2,51,0,51
270,159,10/08/2022 13:40,it_019,2,51,0,51
271,159,10/08/2022 13:40,it_020,2,51,0,51
272,159,10/08/2022 13:40,it_022,1,51,0,51
273,159,10/08/2022 13:40,it_024,1,51,0,51
274,159,10/08/2022 13:40,it_023,1,51,0,51
275,159,10/08/2022 13:40,it_021,1,51,0,51
276,159,10/08/2022 13:40,it_025,5,51,0,51
277,159,10/08/2022 13:40,it_026,5,51,1,51
278,159,10/08/2022 13:40,it_027,1,51,1,51
279,159,10/08/2022 13:40,it_037,1,51,1,51
280,160,10/08/2022 20:15,it_004,2,52,1,52
281,160,10/08/2022 20:15,it_011,1,52,1,52
282,160,10/08/2022 20:15,it_006,4,52,1,52
283,160,10/08/2022 20:15,it_020,1,52,1,52
284,160,10/08/2022 20:15,it_019,1,52,1,52
285,160,10/08/2022 20:15,it_018,1,52,1,52
286,160,10/08/2022 20:15,it_017,1,52,1,52
287,160,10/08/2022 20:15,it_021,3,52,1,52
288,160,10/08/2022 20:15,it_025,1,52,1,52
289,160,10/08/2022 20:15,it_041,3,52,1,52
290,160,10/08/2022 20:15,it_036,1,52,1,52
291,160,10/08/2022 20:15,it_033,1,52,1,52
292,161,10/08/2022 21:42,it_007,10,53,1,53
293,162,10/08/2022 12:51,it_006,1,54,1,54
294,162,10/08/2022 12:51,it_008,1,54,1,54
295,162,10/08/2022 12:51,it_017,1,54,1,54
296,163,10/08/2022 13:00,it_006,1,55,1,55
297,163,10/08/2022 13:00,it_002,1,55,1,55
298,163,10/08/2022 13:00,it_017,1,55,1,55
299,164,10/08/2022 21:01,it_002,1,56,1,56
300,164,10/08/2022 21:01,it_004,1,56,1,56
301,164,10/08/2022 21:01,it_012,1,56,1,56
302,164,10/08/2022 21:01,it_019,2,56,1,56
303,164,10/08/2022 21:01,it_020,2,56,1,56
304,164,10/08/2022 21:01,it_026,1,56,1,56
305,164,10/08/2022 21:01,it_029,2,56,1,56
306,165,10/08/2022 19:19,it_017,2,57,0,57
307,165,10/08/2022 19:19,it_004,1,57,0,57
308,165,10/08/2022 19:19,it_002,1,57,0,57
309,165,10/08/2022 19:19,it_026,1,57,0,57
310,165,10/08/2022 19:19,it_031,1,57,0,57
311,166,10/08/2022 14:22,it_007,1,58,1,58
312,166,10/08/2022 14:22,it_019,1,58,1,58
313,166,10/08/2022 14:22,it_025,1,58,1,58
314,166,10/08/2022 14:22,it_029,1,58,1,58